467080,宜蘭,2023-11-13,2.0
467080,宜蘭,2023-11-14,5.5
467080,宜蘭,2023-11-15,23.5
467080,宜蘭,2023-11-16,0.5
467080,宜蘭,2023-11-17,T
467080,宜蘭,2023-11-18,0.0
467080,宜蘭,2023-11-19,0.0
467080,宜蘭,2023-11-20,T
467080,宜蘭,2023-11-21,2.0
467080,宜蘭,2023-11-22,0.0
467080,宜蘭,2023-11-23,0.0
467080,宜蘭,2023-11-24,4.0
467080,宜蘭,2023-11-25,9.5
467080,宜蘭,2023-11-26,21.5
467080,宜蘭,2023-11-27,3.0
467080,宜蘭,2023-11-28,0.0
467080,宜蘭,2023-11-29,T
467080,宜蘭,2023-11-30,8.5
467080,宜蘭,2023-12-01,17.0
467080,宜蘭,2023-12-02,22.0
467080,宜蘭,2023-12-03,21.5
467080,宜蘭,2023-12-04,31.5
467080,宜蘭,2023-12-05,T
467080,宜蘭,2023-12-06,1.5
467080,宜蘭,2023-12-07,0.0
467080,宜蘭,2023-12-08,0.0
467080,宜蘭,2023-12-09,0.0
467080,宜蘭,2023-12-10,0.0
467080,宜蘭,2023-12-11,0.0
467080,宜蘭,2023-12-12,T
467080,宜蘭,2023-12-13,3.5
467080,宜蘭,2023-12-14,0.0
467080,宜蘭,2023-12-15,0.0
467080,宜蘭,2023-12-16,T
467080,宜蘭,2023-12-17,20.0
467080,宜蘭,2023-12-18,1.5
467080,宜蘭,2023-12-19,T
467080,宜蘭,2023-12-20,3.5
467080,宜蘭,2023-12-21,6.5
467080,宜蘭,2023-12-22,0.5
467080,宜蘭,2023-12-23,11.5
467080,宜蘭,2023-12-24,5.5
467080,宜蘭,2023-12-25,0.0
467080,宜蘭,2023-12-26,0.0
467080,宜蘭,2023-12-27,0.5
467080,宜蘭,2023-12-28,6.5
467080,宜蘭,2023-12-29,4.0
467080,宜蘭,2023-12-30,0.0
467080,宜蘭,2023-12-31,T
467110,金門,2023-01-01,T
467110,金門,2023-01-02,T
467110,金門,2023-01-03,T
467110,金門,2023-01-04,T
467110,金門,2023-01-05,0.0
467110,金門,2023-01-06,0.0
467110,金門,2023-01-07,0.0
467110,金門,2023-01-08,0.5
467110,金門,2023-01-09,2.0
467110,金門,2023-01-10,1.0
467110,金門,2023-01-11,T
467110,金門,2023-01-12,T
467110,金門,2023-01-13,6.5
467110,金門,2023-01-14,0.5
467110,金門,2023-01-15,T
467110,金門,2023-01-16,0.0
467110,金門,2023-01-17,0.0
467110,金門,2023-01-18,0.0
467110,金門,2023-01-19,0.0
467110,金門,2023-01-20,0.0
467110,金門,2023-01-21,1.5
467110,金門,2023-01-22,3.0
467110,金門,2023-01-23,0.0
467110,金門,2023-01-24,T
467110,金門,2023-01-25,0.0
467110,金門,2023-01-26,0.0
467110,金門,2023-01-27,0.0
467110,金門,2023-01-28,0.0
467110,金門,2023-01-29,0.0
467110,金門,2023-01-30,0.0
467110,金門,2023-01-31,0.0
467110,金門,2023-02-01,0.0
467110,金門,2023-02-02,0.0
467110,金門,2023-02-03,0.0
467110,金門,2023-02-04,0.5
467110,金門,2023-02-05,32.0
467110,金門,2023-02-06,8.0
467110,金門,2023-02-07,0.0
467110,金門,2023-02-08,T
467110,金門,2023-02-09,2.0
467110,金門,2023-02-10,T
467110,金門,2023-02-11,0.5
467110,金門,2023-02-12,0.0
467110,金門,2023-02-13,0.0
467110,金門,2023-02-14,T
467110,金門,2023-02-15,0.0
467110,金門,2023-02-16,0.0
467110,金門,2023-02-17,0.0
467110,金門,2023-02-18,0.0
467110,金門,2023-02-19,0.0
467110,金門,2023-02-20,0.0
467110,金門,2023-02-21,0.0
467110,金門,2023-02-22,0.0
467110,金門,2023-02-23,0.0
467110,金門,2023-02-24,0.0
467110,金門,2023-02-25,0.0
467110,金門,2023-02-26,0.0
467110,金門,2023-02-27,0.0
467110,金門,2023-02-28,0.0
467110,金門,2023-03-01,0.0
467110,金門,2023-03-02,0.0
467110,金門,2023-03-03,0.0
467110,金門,2023-03-04,0.0
467110,金門,2023-03-05,0.0
467110,金門,2023-03-06,0.0
467110,金門,2023-03-07,0.0
467110,金門,2023-03-08,0.0
467110,金門,2023-03-09,0.0
467110,金門,2023-03-10,0.0
467110,金門,2023-03-11,0.0
467110,金門,2023-03-12,0.0
467110,金門,2023-03-13,0.0
467110,金門,2023-03-14,0.0
467110,金門,2023-03-15,0.0
467110,金門,2023-03-16,0.0
467110,金門,2023-03-17,0.0
467110,金門,2023-03-18,0.0
467110,金門,2023-03-19,T
467110,金門,2023-03-20,0.0
467110,金門,2023-03-21,0.0
467110,金門,2023-03-22,0.0
467110,金門,2023-03-23,0.0
467110,金門,2023-03-24,7.5
467110,金門,2023-03-25,29.0
467110,金門,2023-03-26,8.0
467110,金門,2023-03-27,2.0
467110,金門,2023-03-28,2.0
467110,金門,2023-03-29,9.5
467110,金門,2023-03-30,1.5
467110,金門,2023-03-31,6.5
467110,金門,2023-04-01,15.5
467110,金門,2023-04-02,0.0
467110,金門,2023-04-03,0.0
467110,金門,2023-04-04,T
467110,金門,2023-04-05,10.0
467110,金門,2023-04-06,7.0
467110,金門,2023-04-07,4.5
467110,金門,2023-04-08,0.0
467110,金門,2023-04-09,0.0
467110,金門,2023-04-10,0.0
467110,金門,2023-04-11,0.0
467110,金門,2023-04-12,0.0
467110,金門,2023-04-13,0.0
467110,金門,2023-04-14,0.0
467110,金門,2023-04-15,0.0
467110,金門,2023-04-16,0.0
467110,金門,2023-04-17,0.0
467110,金門,2023-04-18,33.0
467110,金門,2023-04-19,23.0
467110,金門,2023-04-20,T
467110,金門,2023-04-21,0.0
467110,金門,2023-04-22,0.0
467110,金門,2023-04-23,T
467110,金門,2023-04-24,0.5
467110,金門,2023-04-25,5.5
467110,金門,2023-04-26,T
467110,金門,2023-04-27,0.0
467110,金門,2023-04-28,0.0
467110,金門,2023-04-29,0.0
467110,金門,2023-04-30,0.0
467110,金門,2023-05-01,0.0
467110,金門,2023-05-02,0.0
467110,金門,2023-05-03,0.0
467110,金門,2023-05-04,0.0
467110,金門,2023-05-05,T
467110,金門,2023-05-06,29.0
467110,金門,2023-05-07,17.5
467110,金門,2023-05-08,3.5
467110,金門,2023-05-09,0.0
467110,金門,2023-05-10,0.0
467110,金門,2023-05-11,T
467110,金門,2023-05-12,T
467110,金門,2023-05-13,T
467110,金門,2023-05-14,T
467110,金門,2023-05-15,0.0
467110,金門,2023-05-16,T
467110,金門,2023-05-17,9.0
467110,金門,2023-05-18,0.0
467110,金門,2023-05-19,4.5
467110,金門,2023-05-20,T
467110,金門,2023-05-21,T
467110,金門,2023-05-22,3.0
467110,金門,2023-05-23,12.5
467110,金門,2023-05-24,0.0
467110,金門,2023-05-25,T
467110,金門,2023-05-26,0.0
467110,金門,2023-05-27,0.0
467110,金門,2023-05-28,0.0
467110,金門,2023-05-29,0.0
467110,金門,2023-05-30,0.0
467110,金門,2023-05-31,0.0
467110,金門,2023-06-01,T
467110,金門,2023-06-02,T
467110,金門,2023-06-03,0.0
467110,金門,2023-06-04,T
467110,金門,2023-06-05,0.0
467110,金門,2023-06-06,0.0
467110,金門,2023-06-07,T
467110,金門,2023-06-08,T
467110,金門,2023-06-09,16.5
467110,金門,2023-06-10,78.5
467110,金門,2023-06-11,2.5
467110,金門,2023-06-12,0.0
467110,金門,2023-06-13,0.0
467110,金門,2023-06-14,5.5
467110,金門,2023-06-15,T
467110,金門,2023-06-16,18.0
467110,金門,2023-06-17,6.0
467110,金門,2023-06-18,0.0
467110,金門,2023-06-19,0.0
467110,金門,2023-06-20,0.0
467110,金門,2023-06-21,0.0
467110,金門,2023-06-22,0.0
467110,金門,2023-06-23,0.0
467110,金門,2023-06-24,1.0
467110,金門,2023-06-25,T
467110,金門,2023-06-26,0.0
467110,金門,2023-06-27,0.0
467110,金門,2023-06-28,0.0
467110,金門,2023-06-29,0.5
467110,金門,2023-06-30,0.5
467110,金門,2023-07-01,5.5
467110,金門,2023-07-02,2.0
467110,金門,2023-07-03,1.0
467110,金門,2023-07-04,6.5
467110,金門,2023-07-05,0.0
467110,金門,2023-07-06,0.0
467110,金門,2023-07-07,0.0
467110,金門,2023-07-08,0.0
467110,金門,2023-07-09,0.0
467110,金門,2023-07-10,0.0
467110,金門,2023-07-11,0.0
467110,金門,2023-07-12,0.0
467110,金門,2023-07-13,0.0
467110,金門,2023-07-14,0.0
467110,金門,2023-07-15,0.0
467110,金門,2023-07-16,T
467110,金門,2023-07-17,2.5
467110,金門,2023-07-18,2.5
467110,金門,2023-07-19,0.5
467110,金門,2023-07-20,0.0
467110,金門,2023-07-21,0.0
467110,金門,2023-07-22,0.0
467110,金門,2023-07-23,0.0
467110,金門,2023-07-24,0.0
467110,金門,2023-07-25,0.0
467110,金門,2023-07-26,0.0
467110,金門,2023-07-27,0.0
467110,金門,2023-07-28,108.5
467110,金門,2023-07-29,26.0
467110,金門,2023-07-30,0.5
467110,金門,2023-07-31,1.0
467110,金門,2023-08-01,T
467110,金門,2023-08-02,0.0
467110,金門,2023-08-03,0.0
467110,金門,2023-08-04,0.0
467110,金門,2023-08-05,0.0
467110,金門,2023-08-06,0.0
467110,金門,2023-08-07,0.0
467110,金門,2023-08-08,1.5
467110,金門,2023-08-09,0.0
467110,金門,2023-08-10,9.5
467110,金門,2023-08-11,2.0
467110,金門,2023-08-12,10.0
467110,金門,2023-08-13,T
467110,金門,2023-08-14,0.0
467110,金門,2023-08-15,0.0
467110,金門,2023-08-16,5.5
467110,金門,2023-08-17,0.5
467110,金門,2023-08-18,T
467110,金門,2023-08-19,3.5
467110,金門,2023-08-20,111.0
467110,金門,2023-08-21,0.0
467110,金門,2023-08-22,0.5
467110,金門,2023-08-23,0.5
467110,金門,2023-08-24,0.0
467110,金門,2023-08-25,0.0
467110,金門,2023-08-26,0.0
467110,金門,2023-08-27,T
467110,金門,2023-08-28,0.0
467110,金門,2023-08-29,T
467110,金門,2023-08-30,0.0
467110,金門,2023-08-31,45.5
467110,金門,2023-09-01,97.5
467110,金門,2023-09-02,1.5
467110,金門,2023-09-03,T
467110,金門,2023-09-04,163.0
467110,金門,2023-09-05,25.0
467110,金門,2023-09-06,42.0
467110,金門,2023-09-07,2.5
467110,金門,2023-09-08,T
467110,金門,2023-09-09,1.5
467110,金門,2023-09-10,0.0
467110,金門,2023-09-11,0.0
467110,金門,2023-09-12,0.0
467110,金門,2023-09-13,0.0
467110,金門,2023-09-14,0.0
467110,金門,2023-09-15,0.0
467110,金門,2023-09-16,0.0
467110,金門,2023-09-17,0.0
467110,金門,2023-09-18,0.0
467110,金門,2023-09-19,0.0
467110,金門,2023-09-20,0.0
467110,金門,2023-09-21,0.0
467110,金門,2023-09-22,0.0
467110,金門,2023-09-23,0.0
467110,金門,2023-09-24,0.0
467110,金門,2023-09-25,0.0
467110,金門,2023-09-26,0.0
467110,金門,2023-09-27,0.0
467110,金門,2023-09-28,0.0
467110,金門,2023-09-29,0.0
467110,金門,2023-09-30,0.0
467110,金門,2023-10-01,0.0
467110,金門,2023-10-02,0.0
467110,金門,2023-10-03,0.0
467110,金門,2023-10-04,0.0
467110,金門,2023-10-05,T
467110,金門,2023-10-06,T
467110,金門,2023-10-07,5.0
467110,金門,2023-10-08,T
467110,金門,2023-10-09,3.5
467110,金門,2023-10-10,0.0
467110,金門,2023-10-11,0.0
467110,金門,2023-10-12,0.0
467110,金門,2023-10-13,0.0
467110,金門,2023-10-14,0.0
467110,金門,2023-10-15,0.0
467110,金門,2023-10-16,0.0
467110,金門,2023-10-17,0.0
467110,金門,2023-10-18,0.0
467110,金門,2023-10-19,T
467110,金門,2023-10-20,T
467110,金門,2023-10-21,T
467110,金門,2023-10-22,T
467110,金門,2023-10-23,0.0
467110,金門,2023-10-24,0.0
467110,金門,2023-10-25,0.0
467110,金門,2023-10-26,0.0
467110,金門,2023-10-27,3.5
467110,金門,2023-10-28,T
467110,金門,2023-10-29,0.0
467110,金門,2023-10-30,0.0
467110,金門,2023-10-31,0.0
467110,金門,2023-11-01,0.0
467110,金門,2023-11-02,0.0
467110,金門,2023-11-03,0.0
467110,金門,2023-11-04,0.0
467110,金門,2023-11-05,0.0
467110,金門,2023-11-06,0.0
467110,金門,2023-11-07,0.0
467110,金門,2023-11-08,0.0
467110,金門,2023-11-09,0.0
467110,金門,2023-11-10,0.0
467110,金門,2023-11-11,0.0
467110,金門,2023-11-12,0.0
467110,金門,2023-11-13,0.0
467110,金門,2023-11-14,0.0
467110,金門,2023-11-15,0.0
467110,金門,2023-11-16,0.0
467110,金門,2023-11-17,0.0
467110,金門,2023-11-18,0.0
467110,金門,2023-11-19,0.0
467110,金門,2023-11-20,0.0
467110,金門,2023-11-21,0.0
467110,金門,2023-11-22,0.0
467110,金門,2023-11-23,0.0
467110,金門,2023-11-24,0.0
467110,金門,2023-11-25,0.0
467110,金門,2023-11-26,0.0
467110,金門,2023-11-27,0.0
467110,金門,2023-11-28,0.0
467110,金門,2023-11-29,1.5
467110,金門,2023-11-30,0.0
467110,金門,2023-12-01,0.0
467110,金門,2023-12-02,0.0
467110,金門,2023-12-03,0.0
467110,金門,2023-12-04,2.5
467110,金門,2023-12-05,0.0
467110,金門,2023-12-06,T
467110,金門,2023-12-07,0.0
467110,金門,2023-12-08,0.0
467110,金門,2023-12-09,0.0
467110,金門,2023-12-10,0.0
467110,金門,2023-12-11,0.0
467110,金門,2023-12-12,0.0
467110,金門,2023-12-13,0.0
467110,金門,2023-12-14,0.0
467110,金門,2023-12-15,T
467110,金門,2023-12-16,T
467110,金門,2023-12-17,0.0
467110,金門,2023-12-18,0.0
467110,金門,2023-12-19,0.0
467110,金門,2023-12-20,0.0
467110,金門,2023-12-21,0.0
467110,金門,2023-12-22,0.0
467110,金門,2023-12-23,0.0
467110,金門,2023-12-24,0.0
467110,金門,2023-12-25,0.0
467110,金門,2023-12-26,0.0
467110,金門,2023-12-27,T
467110,金門,2023-12-28,T
467110,金門,2023-12-29,0.0
467110,金門,2023-12-30,T
467110,金門,2023-12-31,T
467270,田中,2023-01-01,T
467270,田中,2023-01-02,3.5
467270,田中,2023-01-03,0.0
467270,田中,2023-01-04,0.0
467270,田中,2023-01-05,0.0
467270,田中,2023-01-06,0.0
467270,田中,2023-01-07,0.0
467270,田中,2023-01-08,0.0
467270,田中,2023-01-09,T
467270,田中,2023-01-10,T
467270,田中,2023-01-11,T
467270,田中,2023-01-12,0.0
467270,田中,2023-01-13,0.0
467270,田中,2023-01-14,0.0
467270,田中,2023-01-15,0.0
467270,田中,2023-01-16,T
467270,田中,2023-01-17,0.0
467270,田中,2023-01-18,0.0
467270,田中,2023-01-19,0.0
467270,田中,2023-01-20,0.0
467270,田中,2023-01-21,0.0
467270,田中,2023-01-22,0.0
467270,田中,2023-01-23,0.0
467270,田中,2023-01-24,0.0
467270,田中,2023-01-25,0.0
467270,田中,2023-01-26,0.0
467270,田中,2023-01-27,0.0
467270,田中,2023-01-28,0.0
467270,田中,2023-01-29,0.0
467270,田中,2023-01-30,0.0
467270,田中,2023-01-31,0.0
467270,田中,2023-02-01,0.0
467270,田中,2023-02-02,0.0
467270,田中,2023-02-03,0.0
467270,田中,2023-02-04,T
467270,田中,2023-02-05,0.0
467270,田中,2023-02-06,11.5
467270,田中,2023-02-07,0.0
467270,田中,2023-02-08,0.0
467270,田中,2023-02-09,0.0
467270,田中,2023-02-10,0.0
467270,田中,2023-02-11,0.0
467270,田中,2023-02-12,0.0
467270,田中,2023-02-13,0.0
467270,田中,2023-02-14,T
467270,田中,2023-02-15,0.0
467270,田中,2023-02-16,0.0
467270,田中,2023-02-17,0.0
467270,田中,2023-02-18,0.0
467270,田中,2023-02-19,0.0
467270,田中,2023-02-20,0.0
467270,田中,2023-02-21,0.0
467270,田中,2023-02-22,0.0
467270,田中,2023-02-23,0.0
467270,田中,2023-02-24,0.0
467270,田中,2023-02-25,0.0
467270,田中,2023-02-26,0.0
467270,田中,2023-02-27,0.0
467270,田中,2023-02-28,0.0
467270,田中,2023-03-01,0.0
467270,田中,2023-03-02,0.0
467270,田中,2023-03-03,0.0
467270,田中,2023-03-04,0.0
467270,田中,2023-03-05,0.0
467270,田中,2023-03-06,0.0
467270,田中,2023-03-07,0.0
467270,田中,2023-03-08,0.0
467270,田中,2023-03-09,0.0
467270,田中,2023-03-10,0.0
467270,田中,2023-03-11,0.0
467270,田中,2023-03-12,0.0
467270,田中,2023-03-13,0.0
467270,田中,2023-03-14,0.0
467270,田中,2023-03-15,0.0
467270,田中,2023-03-16,0.0
467270,田中,2023-03-17,0.0
467270,田中,2023-03-18,0.0
467270,田中,2023-03-19,0.0
467270,田中,2023-03-20,0.0
467270,田中,2023-03-21,0.0
467270,田中,2023-03-22,0.0
467270,田中,2023-03-23,0.0
467270,田中,2023-03-24,0.0
467270,田中,2023-03-25,3.0
467270,田中,2023-03-26,15.5
467270,田中,2023-03-27,1.0
467270,田中,2023-03-28,1.0
467270,田中,2023-03-29,T
467270,田中,2023-03-30,T
467270,田中,2023-03-31,T
467270,田中,2023-04-01,35.0
467270,田中,2023-04-02,0.0
467270,田中,2023-04-03,0.0
467270,田中,2023-04-04,0.0
467270,田中,2023-04-05,0.5
467270,田中,2023-04-06,0.0
467270,田中,2023-04-07,4.5
467270,田中,2023-04-08,T
467270,田中,2023-04-09,0.0
467270,田中,2023-04-10,0.0
467270,田中,2023-04-11,0.0
467270,田中,2023-04-12,0.0
467270,田中,2023-04-13,0.0
467270,田中,2023-04-14,0.0
467270,田中,2023-04-15,0.0
467270,田中,2023-04-16,0.0
467270,田中,2023-04-17,0.0
467270,田中,2023-04-18,0.0
467270,田中,2023-04-19,32.0
467270,田中,2023-04-20,38.0
467270,田中,2023-04-21,0.5
467270,田中,2023-04-22,T
467270,田中,2023-04-23,0.0
467270,田中,2023-04-24,0.0
467270,田中,2023-04-25,T
467270,田中,2023-04-26,0.0
467270,田中,2023-04-27,T
467270,田中,2023-04-28,0.0
467270,田中,2023-04-29,0.0
467270,田中,2023-04-30,0.0
467270,田中,2023-05-01,0.0
467270,田中,2023-05-02,0.0
467270,田中,2023-05-03,0.0
467270,田中,2023-05-04,0.0
467270,田中,2023-05-05,0.0
467270,田中,2023-05-06,0.0
467270,田中,2023-05-07,89.5
467270,田中,2023-05-08,0.5
467270,田中,2023-05-09,0.0
467270,田中,2023-05-10,0.0
467270,田中,2023-05-11,0.0
467270,田中,2023-05-12,0.0
467270,田中,2023-05-13,T
467270,田中,2023-05-14,T
467270,田中,2023-05-15,T
467270,田中,2023-05-16,T
467270,田中,2023-05-17,0.0
467270,田中,2023-05-18,T
467270,田中,2023-05-19,30.0
467270,田中,2023-05-20,T
467270,田中,2023-05-21,0.0
467270,田中,2023-05-22,T
467270,田中,2023-05-23,48.0
467270,田中,2023-05-24,T
467270,田中,2023-05-25,0.0
467270,田中,2023-05-26,0.0
467270,田中,2023-05-27,0.0
467270,田中,2023-05-28,T
467270,田中,2023-05-29,0.0
467270,田中,2023-05-30,0.0
467270,田中,2023-05-31,0.0
467270,田中,2023-06-01,T
467270,田中,2023-06-02,2.0
467270,田中,2023-06-03,15.5
467270,田中,2023-06-04,29.0
467270,田中,2023-06-05,5.0
467270,田中,2023-06-06,T
467270,田中,2023-06-07,9.5
467270,田中,2023-06-08,T
467270,田中,2023-06-09,0.0
467270,田中,2023-06-10,T
467270,田中,2023-06-11,2.5
467270,田中,2023-06-12,4.5
467270,田中,2023-06-13,11.5
467270,田中,2023-06-14,0.5
467270,田中,2023-06-15,T
467270,田中,2023-06-16,5.5
467270,田中,2023-06-17,6.0
467270,田中,2023-06-18,0.0
467270,田中,2023-06-19,0.0
467270,田中,2023-06-20,0.0
467270,田中,2023-06-21,0.0
467270,田中,2023-06-22,T
467270,田中,2023-06-23,T
467270,田中,2023-06-24,3.0
467270,田中,2023-06-25,0.0
467270,田中,2023-06-26,T
467270,田中,2023-06-27,0.0
467270,田中,2023-06-28,T
467270,田中,2023-06-29,9.0
467270,田中,2023-06-30,0.0
467270,田中,2023-07-01,0.0
467270,田中,2023-07-02,0.0
467270,田中,2023-07-03,0.0
467270,田中,2023-07-04,0.0
467270,田中,2023-07-05,0.0
467270,田中,2023-07-06,0.0
467270,田中,2023-07-07,0.0
467270,田中,2023-07-08,0.0
467270,田中,2023-07-09,0.0
467270,田中,2023-07-10,0.0
467270,田中,2023-07-11,T
467270,田中,2023-07-12,0.0
467270,田中,2023-07-13,0.0
467270,田中,2023-07-14,0.0
467270,田中,2023-07-15,0.0
467270,田中,2023-07-16,43.0
467270,田中,2023-07-17,56.5
467270,田中,2023-07-18,36.5
467270,田中,2023-07-19,0.5
467270,田中,2023-07-20,10.5
467270,田中,2023-07-21,T
467270,田中,2023-07-22,0.5
467270,田中,2023-07-23,8.5
467270,田中,2023-07-24,0.0
467270,田中,2023-07-25,0.0
467270,田中,2023-07-26,2.0
467270,田中,2023-07-27,T
467270,田中,2023-07-28,13.0
467270,田中,2023-07-29,34.0
467270,田中,2023-07-30,0.0
467270,田中,2023-07-31,0.0
467270,田中,2023-08-01,0.0
467270,田中,2023-08-02,4.5
467270,田中,2023-08-03,34.5
467270,田中,2023-08-04,88.0
467270,田中,2023-08-05,1.5
467270,田中,2023-08-06,T
467270,田中,2023-08-07,0.0
467270,田中,2023-08-08,T
467270,田中,2023-08-09,9.0
467270,田中,2023-08-10,T
467270,田中,2023-08-11,0.0
467270,田中,2023-08-12,0.0
467270,田中,2023-08-13,0.5
467270,田中,2023-08-14,13.5
467270,田中,2023-08-15,7.0
467270,田中,2023-08-16,45.5
467270,田中,2023-08-17,T
467270,田中,2023-08-18,21.0
467270,田中,2023-08-19,T
467270,田中,2023-08-20,28.0
467270,田中,2023-08-21,0.0
467270,田中,2023-08-22,0.0
467270,田中,2023-08-23,T
467270,田中,2023-08-24,0.0
467270,田中,2023-08-25,0.0
467270,田中,2023-08-26,6.5
467270,田中,2023-08-27,9.5
467270,田中,2023-08-28,0.0
467270,田中,2023-08-29,T
467270,田中,2023-08-30,0.0
467270,田中,2023-08-31,T
467270,田中,2023-09-01,T
467270,田中,2023-09-02,T
467270,田中,2023-09-03,8.0
467270,田中,2023-09-04,13.0
467270,田中,2023-09-05,172.0
467270,田中,2023-09-06,39.0
467270,田中,2023-09-07,7.5
467270,田中,2023-09-08,21.5
467270,田中,2023-09-09,12.5
467270,田中,2023-09-10,6.0
467270,田中,2023-09-11,T
467270,田中,2023-09-12,0.0
467270,田中,2023-09-13,0.0
467270,田中,2023-09-14,0.0
467270,田中,2023-09-15,0.0
467270,田中,2023-09-16,0.0
467270,田中,2023-09-17,0.0
467270,田中,2023-09-18,0.0
467270,田中,2023-09-19,0.0
467270,田中,2023-09-20,0.0
467270,田中,2023-09-21,T
467270,田中,2023-09-22,0.0
467270,田中,2023-09-23,0.0
467270,田中,2023-09-24,T
467270,田中,2023-09-25,0.0
467270,田中,2023-09-26,0.0
467270,田中,2023-09-27,0.0
467270,田中,2023-09-28,0.0
467270,田中,2023-09-29,0.0
467270,田中,2023-09-30,0.0
467270,田中,2023-10-01,0.0
467270,田中,2023-10-02,0.0
467270,田中,2023-10-03,0.0
467270,田中,2023-10-04,T
467270,田中,2023-10-05,T
467270,田中,2023-10-06,29.5
467270,田中,2023-10-07,19.5
467270,田中,2023-10-08,1.0
467270,田中,2023-10-09,0.0
467270,田中,2023-10-10,0.0
467270,田中,2023-10-11,0.0
467270,田中,2023-10-12,0.0
467270,田中,2023-10-13,0.0
467270,田中,2023-10-14,0.0
467270,田中,2023-10-15,T
467270,田中,2023-10-16,0.0
467270,田中,2023-10-17,T
467270,田中,2023-10-18,0.0
467270,田中,2023-10-19,0.0
467270,田中,2023-10-20,T
467270,田中,2023-10-21,T
467270,田中,2023-10-22,0.0
467270,田中,2023-10-23,0.0
467270,田中,2023-10-24,0.0
467270,田中,2023-10-25,0.0
467270,田中,2023-10-26,0.0
467270,田中,2023-10-27,T
467270,田中,2023-10-28,0.0
467270,田中,2023-10-29,0.0
467270,田中,2023-10-30,0.0
467270,田中,2023-10-31,0.0
467270,田中,2023-11-01,0.0
467270,田中,2023-11-02,0.0
467270,田中,2023-11-03,0.0
467270,田中,2023-11-04,0.0
467270,田中,2023-11-05,0.0
467270,田中,2023-11-06,0.0
467270,田中,2023-11-07,0.0
467270,田中,2023-11-08,0.0
467270,田中,2023-11-09,0.0
467270,田中,2023-11-10,0.0
467270,田中,2023-11-11,0.0
467270,田中,2023-11-12,0.0
467270,田中,2023-11-13,0.0
467270,田中,2023-11-14,0.0
467270,田中,2023-11-15,0.0
467270,田中,2023-11-16,T
467270,田中,2023-11-17,0.0
467270,田中,2023-11-18,0.0
467270,田中,2023-11-19,0.0
467270,田中,2023-11-20,0.0
467270,田中,2023-11-21,0.0
467270,田中,2023-11-22,0.0
467270,田中,2023-11-23,0.0
467270,田中,2023-11-24,0.0
467270,田中,2023-11-25,0.0
467270,田中,2023-11-26,0.0
467270,田中,2023-11-27,0.0
467270,田中,2023-11-28,0.0
467270,田中,2023-11-29,T
467270,田中,2023-11-30,T
467270,田中,2023-12-01,T
467270,田中,2023-12-02,0.0
467270,田中,2023-12-03,T
467270,田中,2023-12-04,1.5
467270,田中,2023-12-05,T
467270,田中,2023-12-06,T
467270,田中,2023-12-07,0.0
467270,田中,2023-12-08,0.0
467270,田中,2023-12-09,0.0
467270,田中,2023-12-10,0.0
467270,田中,2023-12-11,0.0
467270,田中,2023-12-12,T
467270,田中,2023-12-13,0.0
467270,田中,2023-12-14,0.0
467270,田中,2023-12-15,0.0
467270,田中,2023-12-16,0.0
467270,田中,2023-12-17,0.0
467270,田中,2023-12-18,0.0
467270,田中,2023-12-19,T
467270,田中,2023-12-20,0.0
467270,田中,2023-12-21,T
467270,田中,2023-12-22,0.0
467270,田中,2023-12-23,T
467270,田中,2023-12-24,T
467270,田中,2023-12-25,0.0
467270,田中,2023-12-26,0.0
467270,田中,2023-12-27,T
467270,田中,2023-12-28,10.5
467270,田中,2023-12-29,0.0
467270,田中,2023-12-30,T
467270,田中,2023-12-31,T
467300,東吉島,2023-01-01,0.0
467300,東吉島,2023-01-02,4.0
467300,東吉島,2023-01-03,0.0
467300,東吉島,2023-01-04,0.0
467300,東吉島,2023-01-05,0.0
467300,東吉島,2023-01-06,0.0
467300,東吉島,2023-01-07,0.0
467300,東吉島,2023-01-08,0.0
467300,東吉島,2023-01-09,0.0
467300,東吉島,2023-01-10,0.0
467300,東吉島,2023-01-11,0.0
467300,東吉島,2023-01-12,0.0
467300,東吉島,2023-01-13,0.0
467300,東吉島,2023-01-14,0.0
467300,東吉島,2023-01-15,0.0
467300,東吉島,2023-01-16,0.0
467300,東吉島,2023-01-17,0.0
467300,東吉島,2023-01-18,0.0
467300,東吉島,2023-01-19,0.0
467300,東吉島,2023-01-20,0.0
467300,東吉島,2023-01-21,0.0
467300,東吉島,2023-01-22,0.0
467300,東吉島,2023-01-23,0.0
467300,東吉島,2023-01-24,0.0
467300,東吉島,2023-01-25,0.0
467300,東吉島,2023-01-26,0.0
467300,東吉島,2023-01-27,0.0
467300,東吉島,2023-01-28,0.0
467300,東吉島,2023-01-29,0.0
467300,東吉島,2023-01-30,0.0
467300,東吉島,2023-01-31,0.0
467300,東吉島,2023-02-01,0.0
467300,東吉島,2023-02-02,0.0
467300,東吉島,2023-02-03,0.0
467300,東吉島,2023-02-04,0.0
467300,東吉島,2023-02-05,0.0
467300,東吉島,2023-02-06,T
467300,東吉島,2023-02-07,0.0
467300,東吉島,2023-02-08,0.0
467300,東吉島,2023-02-09,0.0
467300,東吉島,2023-02-10,0.0
467300,東吉島,2023-02-11,0.0
467300,東吉島,2023-02-12,0.0
467300,東吉島,2023-02-13,0.0
467300,東吉島,2023-02-14,0.0
467300,東吉島,2023-02-15,0.0
